account_number,n_tx,total_spent,avg_amount,max_amount,std_amount,n_counterparties,n_outliers,days_since_last_tx,tx_last_30d,spend_last_30d,spend_prev_30d,spend_trend,share_compras,share_educacion,share_ocio,share_restaurantes,share_salud,share_servicios,share_sin_categoria,share_supermercado,share_transporte,top_category
0273625954,1,105.78,105.78,105.78,0.0,1,0,46.0528,0,0.0,105.78,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,salud
1000000016,54,12056.06,223.2604,8408.02,1135.7624,31,1,6.7688,17,1237.9,9716.29,0.1274,0.0037,0.0836,0.0094,0.0095,0.1148,0.0053,0.0213,0.7393,0.0132,supermercado
1000000024,36,3318.3,92.175,1941.13,318.0216,26,1,1.2683,8,237.84,2343.62,0.1015,0.0097,0.1163,0.5908,0.0118,0.0514,0.1215,0.01,0.0039,0.0845,ocio
1000000032,53,7361.35,138.8934,2764.61,491.7639,28,2,0.5271,18,711.35,6032.95,0.1179,0.0,0.0055,0.019,0.0879,0.7408,0.0037,0.0205,0.1156,0.007,salud
1000000040,47,2248.94,47.8498,170.8,36.6544,31,0,4.2785,16,685.69,649.42,1.0558,0.0,0.1774,0.2608,0.031,0.1,0.0348,0.0,0.3455,0.0505,supermercado
2069779912,36,535.28,14.8689,45.6,9.2591,22,0,0.78,11,139.08,260.08,0.5348,0.4007,0.2125,0.0,0.0,0.0373,0.0,0.1126,0.1676,0.0693,compras
2268550924,39,12797.26,328.1349,10633.41,1693.935,24,1,4.8833,16,11436.95,773.06,14.7944,0.075,0.0347,0.0,0.0032,0.0,0.0095,0.0,0.8373,0.0403,supermercado
2284927809,45,4029.58,89.5462,1944.05,283.6272,30,1,2.0577,11,626.34,2867.36,0.2184,0.1986,0.0208,0.6194,0.0075,0.0216,0.1059,0.0077,0.0104,0.0081,ocio
2319945230,37,678.34,18.3335,93.45,14.4026,26,0,0.0628,16,255.76,136.98,1.8671,0.1618,0.0913,0.4782,0.0283,0.08,0.1354,0.0,0.0108,0.0141,ocio
2341263966,38,1714.99,45.1313,125.0,28.0009,26,0,4.1653,10,349.19,723.72,0.4825,0.2301,0.0882,0.0076,0.0,0.0,0.2192,0.115,0.0598,0.2801,transporte
2716260845,1,12.77,12.77,12.77,0.0,1,0,51.6278,0,0.0,12.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,supermercado
2933498566,38,2392.29,62.955,215.12,47.0254,25,0,5.1618,6,336.92,417.68,0.8066,0.1531,0.0,0.0,0.0271,0.0115,0.0,0.0651,0.2288,0.5143,transporte
3006045029,37,1353.78,36.5886,150.06,27.978,20,0,1.8258,15,679.94,344.34,1.9746,0.0432,0.305,0.0476,0.0,0.0,0.1248,0.1344,0.0,0.3451,transporte
3100533532,49,17444.68,356.0139,12455.16,1819.4262,28,3,0.5929,16,15742.96,318.4,49.444,0.0111,0.0042,0.0034,0.7292,0.0,0.2445,0.0058,0.0009,0.0009,restaurantes
3195408319,46,6564.08,142.6974,4754.34,695.3209,26,1,0.8792,15,668.77,507.4,1.318,0.0078,0.0035,0.0174,0.0132,0.0369,0.007,0.0392,0.8052,0.0699,supermercado
3498277064,42,27869.77,663.566,9707.77,2268.744,25,3,1.3389,10,19581.89,7416.47,2.6403,0.0019,0.0,0.2675,0.3483,0.0149,0.015,0.3446,0.0049,0.0029,restaurantes
3669448445,51,7189.08,140.9624,5467.88,761.2802,30,1,2.2521,22,6138.75,504.59,12.1658,0.0096,0.0052,0.8291,0.0648,0.0555,0.0099,0.0156,0.0078,0.0026,ocio
3714328816,47,3247.08,69.0868,200.83,35.609,29,0,0.7958,16,1301.38,959.53,1.3563,0.0,0.0377,0.007,0.0402,0.2823,0.3215,0.0445,0.0162,0.2505,servicios
4135002980,40,666.44,16.661,52.67,9.8314,27,0,1.3294,10,169.32,176.81,0.9576,0.106,0.2079,0.118,0.0943,0.2057,0.0,0.1555,0.066,0.0464,educacion
4311913901,36,1274.27,35.3964,87.49,17.9998,21,0,0.1184,16,514.27,541.01,0.9506,0.0316,0.0322,0.0288,0.172,0.0376,0.0777,0.0792,0.3157,0.2253,supermercado
4347607386,29,1599.8,55.1655,172.47,32.8721,22,0,0.5963,9,424.88,512.35,0.8293,0.0,0.0,0.1772,0.2274,0.0547,0.3389,0.1287,0.0233,0.0498,servicios
4366963124,39,2513.99,64.4613,1323.71,207.7978,23,1,7.6484,11,1627.66,292.65,5.5618,0.0,0.5562,0.0,0.1247,0.0135,0.0639,0.093,0.0491,0.0996,educacion
4396707111,48,1758.68,36.6392,125.0,23.7701,30,0,0.1319,9,301.97,881.99,0.3424,0.0221,0.1378,0.188,0.0821,0.4184,0.0102,0.028,0.0222,0.0911,salud
4498177346,38,485.86,12.7858,28.55,5.4349,27,0,1.3137,14,178.58,124.05,1.4396,0.2558,0.2888,0.0588,0.0,0.0471,0.0407,0.0865,0.2034,0.0189,educacion
4629506280,48,2301.53,47.9485,127.95,26.6672,28,0,1.1653,14,451.15,978.37,0.4611,0.0196,0.0108,0.0335,0.0592,0.2635,0.1973,0.0501,0.0,0.366,transporte
4953104850,52,3325.14,63.945,147.36,31.9396,32,0,2.1653,17,1158.45,1215.43,0.9531,0.0747,0.2939,0.0534,0.1769,0.0617,0.2275,0.0313,0.0204,0.0601,educacion
4983620826,44,2733.96,62.1355,292.14,48.4747,26,0,1.5625,10,558.67,1095.35,0.51,0.0468,0.0163,0.0,0.373,0.1937,0.2531,0.1092,0.0,0.0079,restaurantes
4987049964,45,5556.64,123.4809,4432.17,657.1132,28,1,1.2313,12,4695.07,495.67,9.4722,0.0102,0.0,0.8642,0.0513,0.0048,0.0261,0.0,0.0292,0.0142,ocio
5653412139,60,6118.17,101.9695,1941.78,245.3376,31,1,1.1625,19,1299.17,1375.09,0.9448,0.0239,0.1982,0.1697,0.0434,0.0217,0.0171,0.0226,0.3274,0.1761,supermercado
6504559771,38,8913.33,234.5613,7020.21,1131.8366,26,1,0.0,14,677.51,372.84,1.8172,0.0138,0.8455,0.0015,0.002,0.0117,0.0238,0.0018,0.0118,0.0882,educacion
6530351102,35,779.54,22.2726,60.4,11.8631,22,0,5.9693,9,235.09,224.66,1.0464,0.3454,0.0619,0.0,0.0,0.196,0.0,0.0192,0.0471,0.3304,compras
6537787563,32,1308.57,40.8928,76.51,18.735,22,0,0.8104,9,364.9,314.46,1.1604,0.2481,0.0444,0.1629,0.0129,0.1444,0.3475,0.011,0.0,0.0289,servicios
6823345381,50,18186.51,363.7302,15298.62,2155.3989,30,1,0.4248,14,16273.19,829.54,19.6171,0.0045,0.0032,0.0506,0.003,0.0017,0.0333,0.0023,0.8961,0.0052,supermercado
7426211087,23,824.09,35.83,386.97,78.5346,17,0,4.1653,8,461.15,200.06,2.3051,0.0,0.1926,0.0535,0.0,0.1117,0.6254,0.0168,0.0,0.0,servicios
7851264619,48,8318.33,173.2985,6573.57,943.6727,27,1,0.0806,19,773.11,6999.79,0.1104,0.0677,0.0092,0.8514,0.0067,0.0015,0.0024,0.0084,0.0,0.0527,ocio
7855828617,42,6627.03,157.7864,3820.93,581.4298,25,1,0.9203,11,873.27,1250.56,0.6983,0.0387,0.5766,0.0104,0.0654,0.1267,0.1021,0.0387,0.0204,0.0209,educacion
8026322977,43,3198.98,74.3949,217.0,41.3757,24,0,1.4308,12,1128.11,672.81,1.6767,0.0415,0.2755,0.0389,0.0673,0.3573,0.0,0.0557,0.1527,0.0112,salud
8327192111,50,2017.89,40.3578,118.91,22.3818,30,0,2.4395,17,535.42,779.95,0.6865,0.0,0.3392,0.053,0.0188,0.017,0.1951,0.0553,0.0,0.3218,educacion
8340365066,38,2544.83,66.9692,164.16,35.9604,24,0,1.2463,17,1182.47,713.44,1.6574,0.0,0.3926,0.0205,0.0635,0.0,0.2609,0.025,0.2376,0.0,educacion
8464126898,39,8939.5,229.2179,7649.91,1219.805,22,1,2.4396,13,384.35,508.62,0.7557,0.0,0.0639,0.0044,0.0183,0.004,0.0,0.8651,0.007,0.0374,sin_categoria
8865793031,45,1232.65,27.3922,156.97,23.1723,27,0,2.2337,17,478.63,198.76,2.4081,0.0134,0.0259,0.2942,0.0114,0.2146,0.0139,0.0,0.0,0.4265,transporte
8978080987,57,1860.96,32.6484,138.67,23.2516,31,0,0.0829,20,777.22,491.55,1.5812,0.0475,0.0244,0.2316,0.228,0.0129,0.0385,0.0893,0.0074,0.3203,transporte
