transaction_id,account_number,counterparty_account,amount,currency,timestamp,category,channel,description
TX0000001,7426211087,1000000024,17.48,USD,2026-07-08 13:36:40,servicios,app,pago servicios
TX0000002,4366963124,1000000040,11.77,USD,13/08/2026,servicios,web,pago servicios
TX0000003,8978080987,4987049964,USD 42.18,USD,1789455520000,restaurantes,cajero,pago restaurantes
TX0000004,3498277064,1000000040,$7.65,USD,2026-07-21 23:33:37,transporte,sucursal,pago transporte
TX0000005,2268550924,8865793031,"41,10",USD,2026/06/26 08:14:01,compras,app,pago compras
TX0000006,7851264619,2319945230,68.17,usd,1787276160,compras,,pago compras
TX0000007,2268550924,2284927809,85.59,usd,2026-08-30T17:20:37Z,educacion,web,pago educacion
TX0000008,8340365066,6530351102,"43,14",USD,1788891257,educacion,cajero,pago educacion
TX0000009,7851264619,7851264619,42.81,USD,04-Aug-2026 10:00,transporte,app,pago transporte
TX0000010,3006045029,2933498566,  35.60 ,USD,1785767631000,transporte,web,pago transporte
TX0000011,5653412139,7855828617,52.96,USD,1783970187,,web,pago educacion
TX0000012,7851264619,5653412139,$50.93,USD,1787299344000,ocio,web,pago ocio
TX0000013,8978080987,8026322977,USD 13.83,USD,1782314360000,supermercado,web,pago supermercado
TX0000014,4366963124,3100533532,USD 16.98,USD,1786642441,,cajero,pago transporte
TX0000015,2933498566,6823345381,21.70,USD,2026/07/04 16:12:25,transporte,app,pago transporte
TX0000016,5653412139,1000000032,"63,80",USD,1784041614,transporte,sucursal,pago transporte
TX0000017,6530351102,3195408319,-11.59,USD,2026-07-18T05:49:27Z,transporte,sucursal,pago transporte
TX0000018,8327192111,6504559771,"23,41",USD,1787432609000,transporte,cajero,pago transporte
TX0000019,2069779912,4311913901,20.26,USD,2026-08-11T11:05:11Z,compras,web,pago compras
TX0000020,8865793031,8978080987,"26,76",USD,31/08/2026,transporte,app,pago transporte
TX0000650,4311913901,3006045029,$18.48,USD,06/09/2026 04:26,supermercado,cajero,pago supermercado
TX0000021,2933498566,2319945230,28.51,usd,1788160510000,supermercado,sucursal,pago supermercado
TX0000022,4396707111,8865793031,"46,19",usd,2026-06-17 20:27:57,salud,sucursal,pago salud
TX0000023,2319945230,4983620826,"13,99",USD,1781789025,ocio,sucursal,pago ocio
TX0000024,4135002980,2069779912,19.90,USD,06-Aug-2026 04:03,supermercado,sucursal,pago supermercado
TX0000025,4953104850,6823345381,"52,75",usd,1785204873000,servicios,sucursal,pago servicios
TX0000026,4983620826,3669448445,"93,25",USD,1785410650,compras,sucursal,pago compras
TX0000027,1000000032,4396707111,  32.50 ,USD,1782384896000,restaurantes,app,pago restaurantes
TX0000028,8327192111,6537787563,$14.07,,1787062891,transporte,app,pago transporte
TX0000029,4311913901,8026322977,  31.30 ,USD,1787525863000,restaurantes,cajero,pago restaurantes
TX0000030,2268550924,2341263966,60.33,usd,2026/07/22 08:17:24,educacion,web,pago educacion
TX0000031,3195408319,4347607386,"30,38",USD,24/07/2026 22:05,salud,cajero,pago salud
TX0000032,3195408319,8978080987,"24,17",usd,04-Jul-2026 13:40,transporte,app,pago transporte
TX0000033,4953104850,2268550924,USD 26.71,USD,1783849154,restaurantes,app,pago restaurantes
TX0000034,4953104850,6823345381,76.21,USD,13/09/2026,educacion,web,pago educacion
TX0000035,4953104850,1000000024,78.50,USD,2026/08/14 20:33:29,servicios,app,pago servicios
TX0000036,1000000024,8865793031,  25.49 ,USD,2026-07-08 02:59:05,educacion,cajero,pago educacion
TX0000037,2933498566,6504559771,USD 31.00,USD,07-Aug-2026 13:53,supermercado,sucursal,pago supermercado
TX0000038,8978080987,8464126898,17.89,usd,25/08/2026,educacion,app,pago educacion
TX0000039,2319945230,4498177346,17.10,USD,01/09/2026,salud,sucursal,pago salud
TX0000040,2319945230,2933498566,  12.76 ,USD,,transporte,web,pago transporte
TX0000041,8464126898,8865793031,USD 35.96,USD,2026-07-08 09:44:52,educacion,sucursal,pago educacion
TX0000042,3498277064,8865793031,"43,36",USD,01/07/2026 22:15,servicios,web,pago servicios
TX0000043,4498177346,7426211087,"11,67",USD,29-Jun-2026 23:25,supermercado,app,pago supermercado
TX0000044,7855828617,7426211087,33.82,USD,28/07/2026,servicios,sucursal,pago servicios
TX0000045,3669448445,4396707111,USD 16.29,USD,2026-07-13 00:06:48,ocio,cajero,pago ocio
TX0000046,8327192111,7855828617,20.17,USD,30-Jun-2026 18:32,transporte,web,pago transporte
TX0000047,6530351102,4498177346,  31.78 ,usd,2026/07/11 10:25:50,compras,sucursal,pago compras
TX0000048,6504559771,2069779912,"73,36",USD,1786147904,educacion,app,pago educacion
TX0000049,2341263966,2933498566,12..5.x,USD,17/08/2026,educacion,sucursal,pago educacion
TX0000050,2284927809,8865793031,USD 31.51,USD,2026/07/15 13:46:47,supermercado,app,pago supermercado
TX0000051,3100533532,4629506280,  15.74 ,USD,2026-08-07T20:04:15Z,restaurantes,web,pago restaurantes
TX0000052,2319945230,3195408319,9.58,USD,2026/09/05 07:55:47,transporte,cajero,pago transporte
TX0000053,3498277064,1000000024,57.78,USD,03-Sep-2026 00:51,salud,cajero,pago salud
TX0000054,8026322977,5653412139,"76,43",usd,17/07/2026,salud,app,pago salud
TX0000055,3100533532,8026322977,"12,13",usd,11/08/2026 06:03,compras,app,pago compras
TX0000056,4983620826,3100533532,21.74,USD,2026/09/09 21:52:44,servicios,web,pago servicios
TX0000469,4135002980,1000000032,52.67,USD,1788644971,educacion,web,pago educacion
TX0000057,4983620826,4396707111,84.02,USD,2026-06-25 11:45:47,servicios,app,pago servicios
TX0000058,1000000040,3100533532,"33,95",USD,01-Sep-2026 08:13,supermercado,sucursal,pago supermercado
TX0000595,1000000040,4135002980,37.14,USD,1785367059000,transporte,cajero,pago transporte
TX0000059,5653412139,4498177346,"53,17",usd,2026-07-29T01:48:21Z,educacion,app,pago educacion
TX0000060,4135002980,2284927809,"15,27",USD,1784832830,ocio,sucursal,pago ocio
TX0000061,4629506280,8464126898,"30,18",USD,1784302020000,compras,cajero,pago compras
TX0000062,1000000040,3669448445,USD 50.88,USD,25/06/2026,ocio,app,pago ocio
TX0000063,6823345381,3714328816,"43,60",USD,1784891129000,supermercado,web,pago supermercado
TX0000064,3714328816,8026322977,91.56,USD,1787060782000,educacion,cajero,pago educacion
TX0000065,6823345381,2268550924,  100.34 ,usd,21/06/2026,supermercado,cajero,pago supermercado
TX0000066,8327192111,3100533532,"36,13",usd,1786663064000,ocio,web,pago ocio
TX0000067,12345,2069779912,  39.12 ,USD,01/09/2026,compras,app,pago compras
TX0000068,4953104850,4347607386,  38.00 ,USD,1788188587,educacion,sucursal,pago educacion
TX0000069,3714328816,0204750894,  48.80 ,USD,1783459657000,,app,pago salud
TX0000070,8026322977,4135002980,"91,25",USD,23/06/2026 18:23,,sucursal,pago educacion
TX0000071,1000000032,7851264619,29.59,usd,2026-07-19T20:00:36Z,supermercado,web,pago supermercado
TX0000072,4396707111,3714328816,15.71,usd,1784510337000,salud,app,pago salud
TX0000073,6537787563,8978080987,28.04,usd,14-Aug-2026 05:25,servicios,app,pago servicios
TX0000074,2933498566,7855828617,$145.81,USD,1781802711,transporte,web,pago transporte
TX0000075,5653412139,8340365066,$61.38,USD,31/08/2026,supermercado,sucursal,pago supermercado
TX0000076,3714-328816,1000000040,$93.52,USD,25/06/2026 11:43,servicios,app,pago servicios
TX0000077,7851264619,3100533532,"32,66",USD,2026/07/17 02:48:22,ocio,sucursal,pago ocio
TX0000078,3498277064,3195408319,52.12,USD,23/06/2026,ocio,web,pago ocio
TX0000079,4135002980,8865793031,USD 4.63,USD,2026-08-14 02:00:49,salud,cajero,pago salud
TX0000080,4983620826,8026322977,35.75,,08/09/2026 03:43,servicios,sucursal,pago servicios
TX0000081,8464126898,5653412139,12.72,USD,01/07/2026 15:24,educacion,sucursal,pago educacion
TX0000082,1000000016,8978080987,"23,56",usd,03/08/2026 13:12,educacion,cajero,pago educacion
TX0000083,5653412139,7855828617,  12.93 ,USD,1789247812000,ocio,cajero,pago ocio
TX0000084,8978080987,6537787563,77.62,USD,19/07/2026,restaurantes,cajero,pago restaurantes
TX0000085,2284927809,8978080987,46.79,usd,2026-08-12 19:10:04,servicios,cajero,pago servicios
TX0000086,4953104850,1000000024,$65.99,USD,05/07/2026 09:32,transporte,cajero,pago transporte
TX0000087,8865793031,4983620826,14.41,USD,1785635389000,transporte,cajero,pago transporte
TX0000088,4396707111,2069779912,  14.46 ,USD,28/08/2026 06:09,educacion,sucursal,pago educacion
TX0000089,3498277064,3195408319,"31,04",USD,1784963813000,servicios,sucursal,pago servicios
TX0000090,1000000032,4366963124,"57,14",usd,28/06/2026 13:55,supermercado,web,pago supermercado
TX0000091,8978080987,1000000040,"32,63",USD,1788246822,servicios,sucursal,pago servicios
TX0000092,3195408319,6823345381,USD 38.20,USD,1784990523,transporte,web,pago transporte
TX0000093,4366963124,1000000016,"1,323.71",USD,2026/09/02 11:37:13,educacion,app,pago educacion
TX0000094,1000000016,8464126898,USD 84.69,USD,2026-08-24 01:30:55,educacion,app,pago educacion
TX0000095,8978080987,4366963124,19.65,,2026/06/30 11:39:28,transporte,app,pago transporte
TX0000096,6530351102,4987049964,18.95,USD,26-Jul-2026 00:00,salud,web,pago salud
TX0000097,4987049964,8978080987,8.09,USD,2026-07-17 11:30:23,ocio,cajero,pago ocio
TX0000098,4953104850,6823345381,24.81,USD,2026-07-05T14:08:29Z,educacion,web,pago educacion
TX0000099,8865793031,2319945230,  23.06 ,USD,09-Sep-2026 21:49,transporte,web,pago transporte
TX0000100,8978080987,8340365066,48.21,USD,2026-06-27 02:17:15,restaurantes,app,pago restaurantes
TX0000101,4366963124,2284927809,$39.87,USD,2026-06-30T05:14:50Z,transporte,,pago transporte
TX0000102,4396707111,3006045029,"62,03",usd,2026-07-09 05:54:31,ocio,app,pago ocio
TX0000103,7855828617,4629506280,"38,89",usd,2026-08-01 01:00:47,transporte,cajero,pago transporte
TX0000104,4987049964,1000000040,  30.47 ,USD,2026-08-07 00:41:53,ocio,sucursal,pago ocio
TX0000105,7855828617,4366963124,49.61,USD,1785606495,transporte,sucursal,pago transporte
TX0000106,8026322977,4629506280,134.82,usd,16-Jul-2026 01:14,educacion,sucursal,pago educacion
TX0000107,3498277064,2268550924,11.27,USD,1781779070,servicios,cajero,pago servicios
TX0000108,8327192111,6537787563,37.17,USD,30/07/2026,servicios,web,pago servicios
TX0000136,6537787563,8340365066,"9,35",USD,1782772598,educacion,sucursal,pago educacion
TX0000106,8026322977,4629506280,134.82,usd,16-Jul-2026 01:14,educacion,sucursal,pago educacion
